result0,abs_diff0,DP_type,blocker,epsilon,gamma
34.465737909488126,0.028460754325067228,windsorized_DP,ResamplingDataBlockerConstantBlocks,5,4
34.61900975961714,0.124811095803949,standard_DP,NaiveDataBlocker,6,2
34.60020470417059,0.1060060403573928,windsorized_DP,NaiveDataBlocker,6,2
34.635781940333786,0.141583276520592,standard_DP,ResamplingDataBlockerConstantSize,6,2
34.50228093397103,0.00808227015783558,windsorized_DP,ResamplingDataBlockerConstantSize,6,2
34.40123451230354,0.09296415150965487,standard_DP,ResamplingDataBlockerConstantBlocks,6,2
34.48621813954424,0.007980524268951683,windsorized_DP,ResamplingDataBlockerConstantBlocks,6,2
34.77526109314142,0.2810624293282231,standard_DP,NaiveDataBlocker,6,2
34.59235602854445,0.09815736473125725,windsorized_DP,NaiveDataBlocker,6,2
34.50295991798393,0.00876125417073581,standard_DP,ResamplingDataBlockerConstantSize,6,2
34.61006118020598,0.115862516392788,windsorized_DP,ResamplingDataBlockerConstantSize,6,2
34.56710411783243,0.0729054540192351,standard_DP,ResamplingDataBlockerConstantBlocks,6,2
34.48489842078971,0.009300243023481869,windsorized_DP,ResamplingDataBlockerConstantBlocks,6,2
34.580357076864026,0.08615841305083194,standard_DP,NaiveDataBlocker,6,4
34.4911737114929,0.0030249523202954265,windsorized_DP,NaiveDataBlocker,6,4
34.49314515376658,0.0010535100466171343,standard_DP,ResamplingDataBlockerConstantSize,6,4
34.50010801031799,0.005909346504793689,windsorized_DP,ResamplingDataBlockerConstantSize,6,4
35.09542303457808,0.6012243707648892,standard_DP,ResamplingDataBlockerConstantBlocks,6,4
34.471636597739305,0.02256206607388833,windsorized_DP,ResamplingDataBlockerConstantBlocks,6,4
34.617514215398344,0.12331555158515073,standard_DP,NaiveDataBlocker,6,4
34.59037984863764,0.09618118482444515,windsorized_DP,NaiveDataBlocker,6,4
34.33454136626297,0.1596572975502255,standard_DP,ResamplingDataBlockerConstantSize,6,4
34.66501395566549,0.17081529185229982,windsorized_DP,ResamplingDataBlockerConstantSize,6,4
32.37669900268617,2.1174996611270203,standard_DP,ResamplingDataBlockerConstantBlocks,6,4
34.54178840468238,0.04758974086918499,windsorized_DP,ResamplingDataBlockerConstantBlocks,6,4
34.63097994236316,0.13678127854996802,standard_DP,NaiveDataBlocker,7,2
34.66648958032214,0.172290916508949,windsorized_DP,NaiveDataBlocker,7,2
34.60617743183796,0.11197876802476969,standard_DP,ResamplingDataBlockerConstantSize,7,2
34.44708320091151,0.047115462901686556,windsorized_DP,ResamplingDataBlockerConstantSize,7,2
34.56777096748301,0.07357230366981327,standard_DP,ResamplingDataBlockerConstantBlocks,7,2
34.56281233377992,0.06861366996672302,windsorized_DP,ResamplingDataBlockerConstantBlocks,7,2
34.7492573535411,0.25505868972790324,standard_DP,NaiveDataBlocker,7,2
34.47088064066552,0.023318023147673728,windsorized_DP,NaiveDataBlocker,7,2
34.409280776957935,0.08491788685525847,standard_DP,ResamplingDataBlockerConstantSize,7,2
34.48486369716954,0.009334966643656628,windsorized_DP,ResamplingDataBlockerConstantSize,7,2
34.59591729668065,0.10171863286745975,standard_DP,ResamplingDataBlockerConstantBlocks,7,2
34.48858252636795,0.005616137445244362,windsorized_DP,ResamplingDataBlockerConstantBlocks,7,2
34.63962931994537,0.1454306561321772,standard_DP,NaiveDataBlocker,7,4
34.643484910490486,0.14928624667729196,windsorized_DP,NaiveDataBlocker,7,4
